insider_name,title,type,security,shares,price,value,code,filing_date
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,140.0,0.0,0.0,A,2025-03-19
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,91.0,0.0,0.0,A,2025-03-19
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,68.0,0.0,0.0,A,2025-03-19
Ferguson Roger W. Jr.,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
Ferguson Roger W. Jr.,Unknown,Sell,Class C Google Stock Units,1.0,0.0,0.0,A,2025-03-19
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,140.0,0.0,0.0,A,2025-03-19
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,116.0,0.0,0.0,A,2025-03-19
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,29.0,0.0,0.0,A,2025-03-19
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,172.0,0.0,0.0,A,2025-03-19
DOERR L JOHN,Unknown,Sell,Class C Google Stock Units,1.0,0.0,0.0,A,2025-03-19
Washington Robin L,Unknown,Sell,Class C Google Stock Units,1.0,0.0,0.0,A,2025-03-19
Washington Robin L,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
Shriram Kavitark Ram,Unknown,Sell,Class C Google Stock Units,1.0,0.0,0.0,A,2025-03-19
Shriram Kavitark Ram,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
HENNESSY JOHN L,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
HENNESSY JOHN L,Unknown,Sell,Class C Google Stock Units,3.0,0.0,0.0,A,2025-03-19
ARNOLD FRANCES,Unknown,Sell,Class C Google Stock Units,1.0,0.0,0.0,A,2025-03-19
DOERR L JOHN,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
CHAVEZ R. MARTIN,Unknown,Sell,Class C Google Stock Units,4.0,0.0,0.0,A,2025-03-18
CHAVEZ R. MARTIN,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-18
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,112.0,0.0,0.0,A,2025-03-18
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,146.0,0.0,0.0,A,2025-03-18
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,40.0,0.0,0.0,A,2025-03-18
HENNESSY JOHN L,Unknown,Sell,Class C Capital Stock,99.0,165.5731,16391.74,S,2025-03-13
HENNESSY JOHN L,Unknown,Sell,Class C Capital Stock,31.0,166.3685,5157.42,S,2025-03-13
HENNESSY JOHN L,Unknown,Sell,Class C Capital Stock,60.0,164.6145,9876.87,S,2025-03-13
HENNESSY JOHN L,Unknown,Sell,Class C Capital Stock,10.0,168.05,1680.5,S,2025-03-13
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,20148.0,0.0,0.0,A,2025-03-07
Porat Ruth,President and CIO,Sell,Class C Capital Stock,800000.0,0.0,0.0,G,2025-03-07
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,116407.0,0.0,0.0,A,2025-03-07
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,116407.0,0.0,0.0,A,2025-03-07
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,143270.0,0.0,0.0,A,2025-03-07
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,121779.0,0.0,0.0,A,2025-03-07
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,1374.0,173.47,238347.78,S,2025-03-03
ARNOLD FRANCES,Unknown,Sell,Class C Capital Stock,121.0,170.3,20606.3,S,2025-02-28
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,1374.0,0.0,0.0,C,2025-02-26
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,1390.0,181.19,251854.1,F,2025-02-26
HENNESSY JOHN L,Unknown,Sell,Class C Capital Stock,1920.0,0.0,0.0,G,2025-02-26
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,2424.0,183.6868,445256.8,S,2025-02-21
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,5855.0,181.6528,1063577.14,S,2025-02-21
