ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,atr_14,atr_14_pct,ownership_pct,tags,outcome_case_1,outcome_case_2,score,bucket
CRM,Kirk David Blair,2025-09-09,Buy,254.66,3400,865827,Director,http://www.sec.gov/Archives/edgar/data/1108524/000110852425000103/xslF345X05/form4.xml,251.32000732421875,252.05999755859375,255.33999633789065,251.2100067138672,246.8,51.48351901101908,245.83099975585935,252.27000427246097,,,,,,,,,,,,,258.0,234.6199951171875,258.0,234.6199951171875,,,6.720715114048555,0.0266631563085937,4e-06,"['📋 Director', '🏔️ MEGA CAP', '📡 Tech', '📈 ABOVE CLOSE', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)']",,,4,Low Conviction (0 - 4)
FRST,Johnson Eric Alan,2025-09-09,Buy,11.0,1818,19998,Director,http://www.sec.gov/Archives/edgar/data/1325670/000095017025114282/xslF345X05/ownership.xml,11.140000343322754,10.960000038146973,11.140000343322754,10.960000038146973,,,,11.15999984741211,,,,,,,,,,,,,11.390000343322754,11.039999961853027,11.5,11.039999961853027,,,0.2435713495526998,0.0222236632030049,7.3e-05,"['📋 Director', '🐣 MICRO CAP', '🏦 Financial', '🧨 CAUGHT THE KNIFE [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,6,Medium (5 - 7)
OPCH,Wright Norman L.,2025-09-09,Buy,29.309999999999995,3411,99976,Director,http://www.sec.gov/Archives/edgar/data/1014739/000143774925028768/xslF345X05/rdgdoc.xml,29.540000915527344,29.25,29.8700008392334,29.0,,,,29.59000015258789,,,,,,,,,,,,,29.649999618530273,28.15999984741211,29.649999618530273,27.420000076293945,,,0.919999940054757,0.0314529894035814,2.2e-05,"['📋 Director', '🌿 MID CAP', '🏥 Healthcare', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,5,Medium (5 - 7)
GLIBA,MALONE JOHN C,2025-09-09,Buy,35.99,14098,507364,Director,http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml,36.400001525878906,36.224998474121094,36.400001525878906,36.0,,,,36.380001068115234,,,,,,,,,,,,,37.98899841308594,36.310001373291016,38.97999954223633,36.310001373291016,,,1.1627856663295202,0.032098984549584,0.000486,"['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📞 Communication', '📉 DIP BUY', '🧨 CAUGHT THE KNIFE [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,9,High (8 - 11)
GLIBK,MALONE JOHN C,2025-09-09,Buy,35.99,14098,507364,Director,http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml,36.2400016784668,36.0099983215332,36.47800064086914,35.584999084472656,,,,36.36000061035156,,,,,,,,,,,,,36.970001220703125,35.900001525878906,39.13999938964844,35.900001525878906,,,1.2637854984828405,0.0350954056481342,0.000489,"['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📞 Communication', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,8,High (8 - 11)
LAB,"Casdin Partners Master Fund, L",2025-09-09,Buy,1.29,100000,128920,Director,http://www.sec.gov/Archives/edgar/data/1162194/000091957425005636/xslF345X05/ownership.xml,1.3799999952316284,1.2799999713897705,1.3799999952316284,1.25,,,,1.3600000143051147,,,,,,,,,,,,,1.409999966621399,1.2000000476837158,1.409999966621399,1.2000000476837158,,,0.0771428176334925,0.060267827623257,0.000281,"['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS', '🧠 SMART INSIDER']",,,13,Ultra Conviction (12 - 14)
SHEN,"ECP Fiber Holdings GP, LLC",2025-09-09,Buy,13.39,362,4846,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225012998/xslF345X05/ownership.xml,13.600000381469728,13.630000114440918,13.710000038146973,13.329999923706056,,,,13.630000114440918,,,,,,,,,,,,,14.3100004196167,12.670000076293944,14.3100004196167,12.670000076293944,,,0.4550001280648373,0.0333822541632092,6e-06,"['🔟 10% Owner', '🌱 SMALL CAP', '📞 Communication', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,8,High (8 - 11)
TPL,HORIZON KINETICS ASSET MANAGEM,2025-09-09,Buy,917.21,1,917,10% Owner,http://www.sec.gov/Archives/edgar/data/1056823/000143774925028728/xslF345X05/rdgdoc.xml,912.5800170898438,900.1199951171875,920.9299926757812,899.9000244140625,,,,912.5800170898438,,,,,,,,,,,,,972.739990234375,889.0499877929688,972.739990234375,888.8400268554688,,,26.200705392020097,0.0291080139694141,0.0,"['🔟 10% Owner', '🌳 LARGE CAP', '⚡ Energy', '📈 ABOVE CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,3,Low Conviction (0 - 4)
AARD,Sun Nelson,2025-09-09,Buy,8.07,6000,48440,Chief Financial Officer,http://www.sec.gov/Archives/edgar/data/1774857/000119312525200226/xslF345X05/ownership.xml,8.199999809265137,7.909999847412109,8.289999961853027,7.650000095367432,9.382499933242798,32.94971493076223,9.544499921798709,8.199999809265137,,,,,,,,,,,,,9.09000015258789,8.029999732971191,9.795000076293944,8.029999732971191,,,0.6942141737256728,0.0877641197367148,0.000279,"['💼 CFO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📈 ABOVE CLOSE', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '📉 DIP SETUP']",,,11,High (8 - 11)
ASA,"Saba Capital Management, L.P.",2025-09-09,Buy,40.06,31225,1250874,10% Owner,http://www.sec.gov/Archives/edgar/data/1230869/000151028125000467/xslF345X05/primary_doc.xml,40.970001220703125,39.959999084472656,40.970001220703125,39.869998931884766,,,,40.470001220703125,,,,,,,,,,,,,40.83000183105469,38.099998474121094,40.83000183105469,36.0,,,1.075000490461077,0.0269019147920549,0.001882,"['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '🏦 Financial', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,11,High (8 - 11)
