ticker, insider_name                    , relationship                   , transaction_date, transaction_type, price  , shares , value       , shares_total , sec_form4                                                                                                                 , market_close_at_trade, high_plus_7d         , low_plus_7d         , max_gain_7d          , max_drawdown_7d      , high_plus_14d     , low_plus_14d      , max_gain_14d       , max_drawdown_14d   , high_plus_30d     , low_plus_30d      , max_gain_30d      , max_drawdown_30d     , high_minus_7d        , low_minus_7d        , high_minus_15d       , low_minus_15d       , tags                                                                                                                                                                                               , ownership_pct
JMSB  , GARCIA MICHAEL A                , Director                       , 2025-07-29      , Buy             ,   19.2 ,    4276, "82,099"    , "28,210"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1253663/000141588925020556/xslF345X05/form4-07302025_080720.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                                , 0.00031
TCBX  , Bobbora William                 , See Remarks                    , 2025-07-29      , Buy             ,   37.56,    1300, "48,824"    , "11,750"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1781730/000095017025100325/xslF345X05/ownership.xml             ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🕵️ Other', '🌱 SMALL CAP']"                                                                                                                                                                     , 9.2e-05
MPB   , Noone John E                    , Director                       , 2025-07-29      , Buy             ,   27.25,    2000, "54,492"    , "3,200"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/879635/000087963525000155/xslF345X05/wk-form4_1753883428.xml    ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🌱 SMALL CAP']"                                                                                                                                                                  , 8.8e-05
AIO   , BRADLEY WILLIAM PATRICK III     , "EVP, CFO and Treasurer"       , 2025-07-29      , Buy             ,   24.79,    2000, "49,580"    , "2,000"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1450955/000088323725000108/xslF345X05/wk-form4_1753828070.xml   ,   24.81999969482422  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   24.89999961853028  ,  24.440000534057617 ,   24.89999961853028  ,  24.09000015258789  , "['💼 CFO', '🌱 SMALL CAP']"                                                                                                                                                                       , 5.7e-05
MOFG  , REEVES CHARLES N                , Chief Executive Officer        , 2025-07-29      , Buy             ,   28.04,    5000, "140,188"   , "58,867"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1412665/000141266525000112/xslF345X05/wk-form4_1753828639.xml   ,   27.81999969482422  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   30.270000457763672 ,  26.75              ,   30.729999542236328 ,  26.75              , "['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                                     , 0.000239
MSTR  , Shao Wei-Ming                   , EVP & General Counsel          , 2025-07-29      , Buy             ,   90.0 ,    2500, "225,000"   , "2,500"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099670/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['🧍 EVP', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 2e-06
MSTR  , Montgomery Jeanine              , VP & CAO                       , 2025-07-29      , Buy             ,   90.0 ,    5000, "450,000"   , "5,000"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099671/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['🕵️ Other', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                   , 4e-06
MSTR  , Patten Jarrod M                 , Director                       , 2025-07-29      , Buy             ,   90.0 ,    5555, "499,950"   , "5,555"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099673/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['📋 Director', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                , 4e-06
MSTR  , Le Phong                        , President & CEO                , 2025-07-29      , Buy             ,   90.0 ,    5500, "495,000"   , "5,500"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099706/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['👑 CEO', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 4e-06
EPD   , Rutherford John R               , Director                       , 2025-07-29      , Buy             ,   31.35,   15000, "470,220"   , "158,586"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1061219/000141588925020451/xslF345X05/form4-07292025_040701.xml ,   31.43000030517578  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   31.940000534057617 ,  30.950000762939453 ,   31.940000534057617 ,  30.950000762939453 , "['📋 Director', '🌳 LARGE CAP']"                                                                                                                                                                  , 7e-06
PCB   , LEE SANG YOUNG                  , Director                       , 2025-07-29      , Buy             ,   21.45,   18200, "390,348"   , "1,569,210"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1423869/000174937525000012/xslF345X05/wk-form4_1753824109.xml   ,   21.40999984741211  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   21.82999992370605  ,  20.739999771118164 ,   22.030000686645508 ,  20.739999771118164 , "['📋 Director', '💰 LARGE TRADE', '🌱 SMALL CAP']"                                                                                                                                                , 0.001266
MOFG  , Devaisher Len D                 , President and COO              , 2025-07-29      , Buy             ,   28.72,    1000, "28,720"    , "3,000"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1412665/000141266525000110/xslF345X05/wk-form4_1753818501.xml   ,   27.81999969482422  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   30.270000457763672 ,  26.75              ,   30.729999542236328 ,  26.75              , "['⚙️ COO', '🌱 SMALL CAP', '📈 ABOVE CLOSE']"                                                                                                                                                      , 4.9e-05
NEGG  , Galkin Vladimir                 , 10% Owner                      , 2025-07-29      , Buy             ,   42.33,  138757, "5,873,837" , "3,333,333"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1474627/000137647425000686/xslF345X05/filing.xml                ,   56.18999862670898  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   43.27000045776367  ,  25.82999992370605  ,   48.0099983215332   ,  25.489999771118164 , "['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                               , 0.007717
SNV   , GREGORY ANDREW J. JR.           , EVP & Chief Financial Officer  , 2025-07-29      , Buy             ,   48.9 ,    2000, "97,800"    , "58,220"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/18349/000001834925000097/xslF345X05/wk-form4_1753827285.xml     ,   49.09999847412109  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   61.060001373291016 ,  47.68999862670898  ,   61.060001373291016 ,  47.68999862670898  , "['💼 CFO', '🌿 MID CAP']"                                                                                                                                                                         , 1.4e-05
SNV   , Blair Kevin S.                  , President and CEO              , 2025-07-29      , Buy             ,   49.4 ,    4040, "199,576"   , "164,378"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/18349/000001834925000099/xslF345X05/wk-form4_1753827464.xml     ,   49.09999847412109  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   61.060001373291016 ,  47.68999862670898  ,   61.060001373291016 ,  47.68999862670898  , "['👑 CEO', '🌿 MID CAP']"                                                                                                                                                                         , 2.9e-05
MSTR  , Briger Peter L JR               , Director                       , 2025-07-29      , Buy             ,   90.0 ,  220000, "19,800,000", "220,000"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099806/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['📋 Director', '🟢 SMALL TRADE', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                              , 0.000176
SNV   , MURPHY DIANA M                  , Director                       , 2025-07-29      , Buy             ,   48.8 ,    1000, "48,800"    , "40,171"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/18349/000001834925000095/xslF345X05/wk-form4_1753826673.xml     ,   49.09999847412109  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   61.060001373291016 ,  47.68999862670898  ,   61.060001373291016 ,  47.68999862670898  , "['📋 Director', '🌿 MID CAP']"                                                                                                                                                                    , 7e-06
SONO  , "Coliseum Capital Management, L", 10% Owner                      , 2025-07-29      , Buy             ,   11.25,  675000, "7,593,750" , "14,505,191" , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025099831/xslF345X05/ownership.xml             ,   11.3100004196167   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   11.489999771118164 ,  10.470000267028809 ,   11.489999771118164 ,  10.279999732971191 , "['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '🚀 BUYING INTO STRENGTH']"                                                                                                               , 0.005332
MSTR  , Dietze Jane A                   , Director                       , 2025-07-29      , Buy             ,   90.0 ,    1500, "135,000"   , "1,500"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099667/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['📋 Director', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                , 1e-06
ABSI  , Busch Andreas                   , Chief Innovation Officer       , 2025-07-28      , Buy             ,    3.04,   50000, "152,000"   , "327,264"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1672688/000162828025036325/xslF345X05/wk-form4_1753792661.xml   ,    2.970000028610229 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    3.759999990463257 ,   2.5899999141693115,    3.759999990463257 ,   2.5510001182556152, "['🕵️ Other', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📈 ABOVE CLOSE']"                                                                                        , 0.000353
CNC   , Samuels Theodore R. II          , Director                       , 2025-07-28      , Buy             ,   27.62,    9000, "248,580"   , "32,000"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1071739/000107173925000153/xslF345X05/wk-form4_1753826508.xml   ,   26.86000061035156  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   29.51000022888184  ,  26.25              ,   31.6200008392334   ,  26.25              , "['📋 Director', '🌳 LARGE CAP', '📈 ABOVE CLOSE']"                                                                                                                                                , 2e-05
DMA   , "Saba Capital Management, L.P." , 10% Owner                      , 2025-07-28      , Buy             ,    8.52,   76427, "651,158"   , "2,034,481"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1510281/000151028125000402/xslF345X05/primary_doc.xml           ,    8.59000015258789  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    8.710000038146973 ,   8.4350004196167   ,    8.789999961853027 ,   8.4350004196167   , "['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🐣 MICRO CAP']"                                                                                                                                          , 0.00837
