ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
BFST,Ducrest John P.,Director,2025-07-31,Buy,23.62,2225,"52,554","13,716",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1624322/000143774925024372/xslF345X05/rdgdoc.xml
ALGN,HOGAN JOSEPH M,PRESIDENT AND CEO,2025-08-01,Buy,131.49,7576,"996,131","184,945",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1097149/000141588925020838/xslF345X05/form4-08012025_040811.xml
TROX,Srivisal John,"SVP, Chief Financial Officer",2025-08-01,Buy,3.39,37000,"125,478","237,283",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1530804/000114036125028374/xslF345X05/form4.xml
NWBI,Paup Mark A,Director,2025-08-01,Buy,11.59,3500,"40,560","62,772",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1471265/000147126525000134/xslF345X05/wk-form4_1754077126.xml
PLBC,Foster Michael Kevin,Director,2025-07-31,Buy,41.0,650,"26,650","2,980",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168455/000143774925024358/xslF345X05/rdgdoc.xml
PLBC,Patel Sushil Amathalal,Director,2025-07-31,Buy,41.16,1299,"53,460","3,685",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168455/000143774925024348/xslF345X05/rdgdoc.xml
PLBC,Patel Sushil Amathalal,Director,2025-07-30,Buy,41.0,1,41,"2,386",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168455/000143774925024348/xslF345X05/rdgdoc.xml
ABG,"ABRAMS CAPITAL MANAGEMENT, L.P",10% Owner,2025-07-30,Buy,225.16,46952,"10,571,698","2,162,992",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1112443/000095017025101345/xslF345X05/ownership.xml
BUSE,BRADSHAW STANLEY J,Director,2025-07-31,Buy,22.35,3000,"67,050","498,568",https://finviz.com/http://www.sec.gov/Archives/edgar/data/314489/000031448925000282/xslF345X05/wk-form4_1754074619.xml
ATLO,Cassabaum Michelle R,Director,2025-07-31,Buy,18.29,164,"3,000","8,591",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1132651/000113265125000032/xslF345X05/primary_doc.xml
SNV,Montana Gregory G,Director,2025-07-31,Buy,46.74,1000,"46,740","4,341",https://finviz.com/http://www.sec.gov/Archives/edgar/data/18349/000001834925000100/xslF345X05/wk-form4_1754068738.xml
TROX,Engle Jeffrey A.,"SVP, Commercial and Strategy",2025-08-01,Buy,3.07,12600,"38,682","146,926",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1530804/000114036125028304/xslF345X05/form4.xml
RVP,SHAW THOMAS J,PRESIDENT AND CEO,2025-07-31,Buy,0.71,5339,"3,816","15,496,757",https://finviz.com/http://www.sec.gov/Archives/edgar/data/946563/000141588925020821/xslF345X05/form4-08012025_040810.xml
TROX,Romano John D,CEO and Director,2025-08-01,Buy,3.09,100000,"308,930","1,333,485",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1344537/000114036125028286/xslF345X05/form4.xml
MOFG,Funk Charles N,Director,2025-07-31,Buy,27.66,600,"16,596","129,475",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1412665/000141266525000119/xslF345X05/wk-form4_1754060930.xml
CASS,Resch Martin H.,President & CEO,2025-07-31,Buy,39.75,500,"19,875","40,920",https://finviz.com/http://www.sec.gov/Archives/edgar/data/708781/000070878125000081/xslF345X05/wk-form4_1754058426.xml
TPL,HORIZON KINETICS ASSET MANAGEM,10% Owner,2025-07-31,Buy,979.33,1,979,"1,163,965",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925024309/xslF345X05/rdgdoc.xml
